ID;Name;NeOn ODP;Formalization;Example;OWL constructs;Expressivity
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;(Be there) | (What | How [many] [be]) NP<class1> [PREP] NP<class2> REPRO NP<class3> VB ?;Are there any modification to the clustering algorithm that Weka uses?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;Who be NP<class1> PREP NP<class2>?;Who is the owner of a given device?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;Who do NP<class> VB ?;Who does the player play with?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;Who be NP<class1> PRON VB NP<class2>?;Who are the friends that play other games as well with this player?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;When is NP<class1> PREP NP<class2> AP<property>?;When was the 1.0 version of MUSCLE released?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;Do PRON VB1 NP<class1> VB2 NP<class2>?;Do I need a license key to use Ringo?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;NP<class1> VB1 NEG(be / have / CATV / PART) [QUAN] NP<class2> PREP NP<class3>;An operation may produce output data into output data points;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;NP<class1> VB1 NEG(be | have | CATV | PART) NP<class2> [REPRO] VB2 NP<class3>;A service shall specify the device that is offering the service;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;NP<class1> VB1 NP<class> PREP NP<class2> VB2;An Assertion policy reflects policy terms that a party believes to have.;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;VB1 NP<class1> by VB2 NP<class2>;Extend the temporal constraints by setting a time reference, any period in the rightOperand refers to this point in time.;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;NP<class1> VB1 NEG(be / have / CATV / PART) NP<class2> VB2 NP<class3> PREP REPRO NP<class4> VB3 NEG(be / have / CATV / PART);A function represents the functionality necessary toaccomplish the task for which a device is designed;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;Do PRON VB1 NEG(be / have / CATV / PART) NP<class1> REPRO VB2 NP<class2>?;Do I know anyone who has used PUMA or processed DXF?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
LSP-OP-EN;Lexico Syntactic ODPs corresponding to Object Property ODP;LP-OP-01;What NP<class1> VB1 NEG(be / have / CATV / PART) NP<class2> REPRO [(VB2 NP<class3>,)* or]?;What kind of games are owned by players that have certain achievement?;ObjectProperty, Class (Thing, Nothing), someValuesFrom;ALE
